EBC_MEAN,EBC_STD,EBC_AUC,CVD_SRF,BWMEAN,BWSD,CENTROID,CENTSD,SVDU,SVDV,SVDU1,SVDV1,SVDU2,SVDV2,STDU,STDV,STDU1,STDV1,STDU2,STDV2,Target
3.31E-12,241.1517629,253.2969886,-0.050050251,69.95550349,0.754820526,-3.884671491,3.731691519,-0.139133673,-0.031656863,-0.003712488,-4.80E-05,0.010217263,-0.000991324,0.015957987,0.001364179,0.141371644,0.031702095,0.141044389,0.031686613,1
1.58E-12,248.061879,-248.4352937,-0.050050251,69.90802257,0.731769967,-5.730121886,3.912357246,-0.139161811,-0.031653862,-0.000295416,-0.000284238,-0.010102089,0.001014623,0.015705736,0.001432191,0.141421042,0.031700856,0.141052851,0.031685874,1
-9.83E-13,267.2469465,46.60160829,-0.050050251,69.73747431,0.792784452,-5.577865045,3.557345257,-0.139042405,-0.03164906,0.000226968,-0.000412595,-0.012219998,0.001124951,0.016749736,0.001534738,0.14142117,0.031699444,0.140881812,0.031682145,1
-4.19E-12,272.2127267,267.3226999,-0.050050251,69.77658831,0.586940647,-4.485728671,3.43420795,-0.139007284,-0.031647019,-0.002007832,-0.00014614,-0.010594412,0.001169893,0.017044487,0.001576315,0.141406817,0.031701794,0.141016005,0.031680516,1
4.41E-12,309.8807143,241.3156285,-0.050050251,69.83548047,0.624627662,-4.620188476,3.573508956,-0.139054881,-0.031634676,-0.001434056,2.91E-05,-0.010228471,0.001255198,0.016643761,0.001807371,0.14141394,0.031702118,0.14104356,0.031677248,1
-4.91E-12,233.7126853,-32.28452862,-0.050050251,69.87888781,0.676497931,-4.721697743,3.68104097,-0.139099612,-0.031658628,-0.001440349,-0.000142815,0.011106459,-0.000945215,0.016258039,0.001322522,0.141413875,0.031701809,0.140975812,0.031688023,1
4.80E-12,266.4917329,97.6489944,-0.050050251,69.83539596,0.685826116,-5.040348798,3.579903729,-0.139054467,-0.031648858,-0.002282903,0.000532351,0.010213993,-0.000881964,0.01664729,0.001538914,0.141402561,0.031697657,0.141044631,0.031689848,1
-2.24E-12,269.5483176,87.24477004,-0.050050251,69.95584705,0.761472225,-4.957310692,4.136079831,-0.139212832,-0.031647126,-0.00054693,0.000232113,-0.008603674,0.001000073,0.01523756,0.001574162,0.141420277,0.031701281,0.141154158,0.031686337,1
1.62E-12,239.7849678,126.0935127,-0.050050251,70.0132246,0.775425167,-4.668660672,4.253974599,-0.13923814,-0.031656642,-0.001571092,0.000135352,0.008775579,-0.001045869,0.01499984,0.001369296,0.141412455,0.031701842,0.141143363,0.031684857,1
-5.74E-12,242.7117966,-105.1127892,-0.050050251,69.84680344,0.54433062,-5.212500168,3.370250616,-0.139056498,-0.031655496,-4.08E-06,0.000345429,-0.009900887,0.00078634,0.016629975,0.001395551,0.141421356,0.031700247,0.141067402,0.031692368,1
3.88E-12,268.3608453,173.148998,-0.050050251,69.89239425,0.687558899,-4.938325339,3.69312745,-0.139127771,-0.031648996,-0.000790943,0.000147489,0.010709487,-0.001088768,0.016010391,0.001536071,0.1414191,0.031701788,0.141007138,0.031683411,1
3.13E-12,251.5929512,-223.8499268,-0.050050251,70.00536406,0.703238174,-5.275703439,3.833044925,-0.139188697,-0.031654056,0.001089057,-0.000317039,-0.009891047,0.000918238,0.01546081,0.001427877,0.141417079,0.031700544,0.141068106,0.031688817,1
1.58E-12,230.7301535,37.95345831,-0.050050251,69.80870574,0.673662862,-4.437040222,3.714804172,-0.139080742,-0.031658286,-0.001278968,-0.000434487,-0.010366289,0.000839154,0.016421882,0.001330705,0.141415457,0.031699151,0.141033297,0.031691012,1
-5.04E-12,225.5558618,235.0684827,-0.050050251,69.87650021,0.681691588,-5.08260832,4.091121853,-0.139164606,-0.031659389,-0.001015572,-0.000261345,0.011032114,-0.000621217,0.015680456,0.001304176,0.141417637,0.031701053,0.140981766,0.031696038,1
2.32E-12,301.8173085,-48.63038555,-0.050050251,69.8803905,0.719754292,-4.530184087,3.933782878,-0.139127589,-0.031635809,-0.001974789,-0.000115649,-0.009984493,0.000993009,0.016012006,0.00178741,0.141407292,0.03170192,0.141061391,0.03168656,1
1.19E-12,238.2812067,187.4472133,-0.050050251,69.67257483,0.638727353,-4.522565339,3.454280204,-0.138996695,-0.031656737,-0.001449424,-6.16E-05,0.011823975,-0.00089216,0.017132344,0.001367104,0.14141378,0.031702071,0.140916278,0.031689563,1
1.41E-12,264.2467336,379.1266555,-0.050050251,69.55874946,0.589505094,-4.303078256,3.304136723,-0.138926143,-0.031648275,-0.000405344,-0.000434197,-0.011096599,0.000934219,0.017706422,0.001550859,0.141420764,0.031699155,0.140976604,0.031688349,1
-4.52E-13,255.2224133,388.6184299,-0.050050251,69.67189266,0.604204554,-4.527416472,3.183732058,-0.13895801,-0.031652005,-0.00112545,-0.000147093,-0.011893856,0.001060539,0.017449498,0.001472691,0.141416788,0.03170179,0.14091028,0.031684369,1
6.73E-13,207.8795246,-26.08602283,-0.050050251,69.79897608,0.613426666,-5.361069996,3.654015046,-0.139075528,-0.031663964,-0.000520705,-0.000191967,-0.011270443,0.000493634,0.016466864,0.001187811,0.141420378,0.031701549,0.140962536,0.031698284,1
1.25E-11,282.137238,33.32337907,-0.050050251,69.69092732,0.620368688,-4.759710924,3.551712712,-0.13901905,-0.03164348,-0.001413296,0.00014707,-0.010987449,0.000926936,0.016946319,0.001645899,0.141414153,0.03170179,0.140985324,0.031688563,1
8.27E-12,259.9478695,32.65749821,-0.050050251,69.93559092,0.683157163,-4.623311428,3.921614481,-0.139158721,-0.03165168,-0.001502858,-0.000163867,0.010466936,-0.000907122,0.015733635,0.001479658,0.141413211,0.031701707,0.141025714,0.031689137,1
5.26E-12,254.4283162,150.7365451,-0.050050251,69.73279334,0.646612759,-4.301505279,3.653811457,-0.1390421,-0.031651921,-0.001993921,-0.000184705,-0.011100156,0.000928391,0.016752325,0.00147449,0.141407018,0.031701593,0.140976318,0.031688521,1
-4.66E-12,300.1058223,188.2237569,-0.050050251,69.62769863,0.633844314,-4.757707365,3.396415405,-0.138949578,-0.031637194,-0.000605827,4.30E-05,-0.012609428,0.00122765,0.017517851,0.00176271,0.141420033,0.031702102,0.140846805,0.031678328,1
-4.28E-12,277.3501809,54.88443938,-0.050050251,69.62851306,0.543450604,-4.584922749,3.2867229,-0.138928382,-0.031644242,0.000354835,6.55E-05,-0.010931388,0.001065539,0.017688495,0.001631158,0.141420902,0.031702063,0.140989769,0.031684201,1
2.80E-12,277.7910159,25.6352171,-0.050050251,69.82219533,0.706299163,-5.33456934,3.71076278,-0.139107544,-0.031644595,-0.002466461,0.000505986,-0.0092181,0.000953492,0.016188666,0.001624288,0.141399416,0.031698089,0.141114589,0.031687775,1
2.42E-12,300.2096712,-89.12622254,-0.050050251,69.84485958,0.708889934,-5.888416382,3.882805834,-0.139132819,-0.031636731,-0.001308259,-0.000327366,0.009315514,-0.001367692,0.015965585,0.001771001,0.141415184,0.031700439,0.141108064,0.031672585,1
